symbol,side,start,end,bars,gross_contribution,cost,net_contribution
BTC,short,2024-10-02 16:00:00+00:00,2024-10-02 16:00:00+00:00,1,-0.0018417385342252258,0.00015449255413470646,-0.0019962310883599324
BTC,short,2024-10-03 00:00:00+00:00,2024-10-03 04:00:00+00:00,2,-0.002203651878843006,0.00011552171296735512,-0.002319173591810361
BTC,short,2024-10-03 16:00:00+00:00,2024-10-03 16:00:00+00:00,1,0.00020047855946931468,0.00011356709338855735,8.691146608075733e-05
BTC,short,2024-10-10 00:00:00+00:00,2024-10-10 12:00:00+00:00,4,-0.0004725973617495647,0.00034910356090373174,-0.0008217009226532965
BTC,long,2024-10-14 08:00:00+00:00,2024-11-04 16:00:00+00:00,129,0.012892167724717858,0.0014224269136183193,0.011469740811099539
BTC,long,2024-11-07 00:00:00+00:00,2024-11-12 16:00:00+00:00,35,0.0495152665838916,0.0003960654024791866,0.04911920118141241
BTC,long,2024-11-20 00:00:00+00:00,2024-11-23 20:00:00+00:00,24,0.01699937124077352,0.0006612209417190429,0.016338150299054475
BTC,long,2024-12-11 20:00:00+00:00,2024-12-18 16:00:00+00:00,42,0.012505767344629576,0.0005860836164977568,0.011919683728131819
BTC,long,2025-01-03 16:00:00+00:00,2025-01-03 16:00:00+00:00,1,0.0002884891696233846,3.0387394099901803e-05,0.0002581017755234828
BTC,long,2025-01-04 00:00:00+00:00,2025-01-07 20:00:00+00:00,24,-0.004388805183789081,0.00017215945989825304,-0.004560964643687334
BTC,short,2025-01-13 16:00:00+00:00,2025-01-13 16:00:00+00:00,1,-0.003942574593874415,0.00031362029996084346,-0.004256194893835258
BTC,long,2025-01-15 20:00:00+00:00,2025-01-21 08:00:00+00:00,34,0.00576587287534297,0.0006957984626933127,0.0050700744126496574
BTC,long,2025-01-22 00:00:00+00:00,2025-01-23 04:00:00+00:00,8,-0.013815489602184497,0.000371205310379219,-0.014186694912563715
BTC,long,2025-01-24 16:00:00+00:00,2025-01-27 04:00:00+00:00,16,-0.010575389831564745,0.00048408665989303713,-0.011059476491457783
BTC,long,2025-01-30 12:00:00+00:00,2025-02-01 00:00:00+00:00,10,-0.005281521606801496,0.0003833082569763539,-0.00566482986377785
BTC,long,2025-02-02 04:00:00+00:00,2025-02-02 04:00:00+00:00,1,-0.00017998743686828113,1.2303640185610934e-05,-0.00019229107705389205
BTC,long,2025-02-03 00:00:00+00:00,2025-02-03 00:00:00+00:00,1,-9.467516978786111e-05,1.6651088867447835e-05,-0.00011132625865530895
BTC,short,2025-02-03 08:00:00+00:00,2025-02-03 16:00:00+00:00,3,-0.0041483084524044445,9.553376189663092e-05,-0.004243842214301075
BTC,long,2025-02-04 04:00:00+00:00,2025-02-04 04:00:00+00:00,1,-0.0006907282118707556,9.238660625726597e-05,-0.0007831148181280215
BTC,short,2025-02-05 04:00:00+00:00,2025-02-07 04:00:00+00:00,13,-0.004763097763153586,0.000683595724470625,-0.005446693487624212
BTC,short,2025-02-13 16:00:00+00:00,2025-02-14 00:00:00+00:00,3,-0.00309625241544826,0.0003703683015239649,-0.0034666207169722248
BTC,short,2025-02-14 08:00:00+00:00,2025-02-14 12:00:00+00:00,2,0.0010479835241824242,0.00037063562376749633,0.0006773479004149279
BTC,short,2025-02-14 20:00:00+00:00,2025-02-14 20:00:00+00:00,1,-0.00440057113086784,0.00039717984801049716,-0.004797750978878337
BTC,short,2025-02-17 08:00:00+00:00,2025-02-18 12:00:00+00:00,8,0.002670741895800642,0.000629983171367281,0.0020407587244333607
