date_utc,risk20_return,risk20_equity_growth_of_1,risk20_drawdown,risk20_btc_end_position,risk20_eth_end_position,risk20_mean_gross_exposure,risk24_return,risk24_equity_growth_of_1,risk24_drawdown,risk24_btc_end_position,risk24_eth_end_position,risk24_mean_gross_exposure,benchmark_return,benchmark_equity_growth_of_1
2023-11-28 00:00:00+00:00,0.0,1.5835720754040041,-0.01646445871216906,0.0,0.0,0.0,0.0,1.6939235033663764,-0.021728460951463635,0.0,0.0,0.0,0.032462750020599174,1.0645600030046993
2023-11-29 00:00:00+00:00,-0.002259992727558724,1.579993214030026,-0.018687241882775152,0.32723260026827683,0.0,0.32691247715441496,-0.0027134814608159585,1.6893270733439514,-0.024382982636315664,0.3926791203219322,0.0,0.39229497258529794,-0.007662053382165079,1.0564032874331595
2023-11-30 00:00:00+00:00,0.0002937740411677048,1.5804573750215292,-0.018398957668173566,0.08471298257399591,0.0,0.23794847713534448,0.00035152975820551546,1.689920922081574,-0.02404002422210061,0.10165557908879508,0.0,0.2855381725624134,-0.0011458166549463966,1.0551928429520785
2023-12-01 00:00:00+00:00,0.004063410932778622,1.5868794227979823,-0.014410309261135401,0.28303520514016445,0.23379216465790698,0.34533781080630255,0.0048744381810383874,1.698158337147104,-0.01928276765300352,0.3396422461681973,0.28055059758948825,0.41440537296756297,0.025869952472567626,1.0824906316486422
2023-12-02 00:00:00+00:00,0.012368306899971149,1.606506434512397,-0.0022202334886294306,0.29133824288899307,0.24292869390091262,0.5259889036110044,0.014845506942947617,1.7233683585314459,-0.004723523171127786,0.3496058914667916,0.29151443268109506,0.6311866843332051,0.023521085322557145,1.1079519861565188
2023-12-03 00:00:00+00:00,0.0025607106126896984,1.6106202325886072,0.0,0.2906036286829323,0.2392793136743611,0.5272144100091095,0.0030726878236633226,1.728663731502392,-0.0016653492595971597,0.3487243544195187,0.28713517640923336,0.6326572920109313,0.005156313151701397,1.1136649335541913
2023-12-04 00:00:00+00:00,0.024845953667799625,1.6506376282639244,0.0,0.32333758175412464,0.1910619996275873,0.5214353857229139,0.02985915735959055,1.7802801738831389,0.0,0.3880050981049495,0.22927439955310477,0.6257224628674967,0.046323216244538834,1.165253475095182
2023-12-05 00:00:00+00:00,0.019985848145213536,1.6836270212451825,0.0,0.4024246096088513,0.11236938116886895,0.515841912295163,0.023986736153322585,1.822983284693065,0.0,0.4829095315306216,0.13484325740264272,0.6190102947541954,0.03252388114945992,1.2031520406281728
2023-12-06 00:00:00+00:00,-0.0014607654389177105,1.6811676370805195,-0.0014607654389177105,0.0,0.0,0.20540937319618802,-0.00175361615281866,1.8197864717587087,-0.00175361615281866,0.0,0.0,0.24649124783542556,2.1481599105532823e-05,1.2031778862579725
2023-12-07 00:00:00+00:00,0.0,1.6811676370805195,-0.0014607654389177105,0.0,0.0,0.0,0.0,1.8197864717587087,-0.00175361615281866,0.0,0.0,0.0,0.0051332172907399,1.2093540597875478
2023-12-08 00:00:00+00:00,0.0003675821868420748,1.6817856043570056,-0.0010937202034302373,0.0,0.07061571612884714,0.07039292674341861,0.00044098090305277893,1.820588962840388,-0.0013134085610007062,0.0,0.08473885935461654,0.08447151209210234,0.01193060442316729,1.2237823846824245
2023-12-09 00:00:00+00:00,1.3859035860930291e-05,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0235393628572618,1.6597567478848774e-05,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.028247235428714157,0.0003358642344590823,1.2241934094162004
2023-12-10 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,-0.0018547609115069363,1.2219228233322907
2023-12-11 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,-0.07082488860126146,1.1353802754904423
2023-12-12 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,0.004962813478574413,1.1410149560249538
2023-12-13 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,0.03604573587754345,1.1821436797621563
2023-12-14 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,0.011473433924263476,1.195706927160893
2023-12-15 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,-0.022410770950976322,1.1689102130917945
2023-12-16 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,0.0021091936838188996,1.1713756711301992
2023-12-17 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,-0.0023692602954041853,1.168600377261588
2023-12-18 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,-0.016760838847546977,1.149013654661124
2023-12-19 00:00:00+00:00,0.0,1.6818089122840068,-0.0010798763254767918,0.0,0.0,0.0,0.0,1.8206191801885498,-0.0012968327929090417,0.0,0.0,0.0,0.00697903189477711,1.1570326576045384
2023-12-20 00:00:00+00:00,-0.00036037561529622675,1.6812028293624317,-0.0014398627796777808,0.053414109067535576,0.0,0.00890235151125593,-0.0003165922068240068,1.820042786344508,-0.00161301443257722,0.04692462516179937,0.0,0.007820770860299895,0.025646137752624698,1.1867060765257498
2023-12-21 00:00:00+00:00,-0.0003303484455059458,1.6806474466211716,-0.0017697355687528171,0.1447966034134201,0.0,0.13318884945607565,-0.0005162292716388572,1.8191032269825618,-0.002128411018950449,0.1737559240961041,0.0,0.14356054981261937,0.0020784114600735926,1.1891725400349398
